mode,seed,method,sources,success,cleared,virtual_time_s,distance_m,measure_calls,clear_calls,failed_clear
3,160019,O1,12,True,12,3277.0555066246693,14540.27753312335,52,12,0
3,160019,O2,12,True,12,3226.3872319920433,13436.936159960216,81,12,0
3,160019,O3,12,True,12,2812.163880655257,13015.819403276284,25,12,0
3,160019,O0,12,True,12,1541.976989032659,7409.884945163294,0,12,0
3,160020,G25OR,15,True,15,4410.110218087124,18355.55109043562,111,16,1
3,160020,O1,15,True,15,4200.110218087124,18355.55109043562,76,16,1
3,160020,O2,15,True,15,3812.3546796172814,16436.773398086407,76,15,0
3,160020,O3,15,True,15,3604.3546796172814,16436.773398086407,41,15,0
3,160020,O0,15,True,15,2010.0790426649583,9675.395213324791,0,15,0
3,160021,G25OR,10,True,10,4475.783490125836,18153.91745062917,135,10,0
3,160021,O1,10,True,10,4057.7834901258348,18153.91745062917,65,10,0
3,160021,O2,10,True,10,3939.8964526409895,16064.48226320495,114,10,0
3,160021,O3,10,True,10,3521.89645264099,16064.48226320495,44,10,0
3,160021,O0,10,True,10,1994.1265213060299,9720.63260653015,0,10,0
3,160022,G25OR,15,True,15,4351.361107649117,18036.805538245586,112,16,1
3,160022,O1,15,True,15,4141.361107649117,18036.805538245586,77,16,1
3,160022,O2,15,True,15,3858.9728531456726,16609.86426572836,78,15,0
3,160022,O3,15,True,15,3548.548605979199,16107.74302989599,43,15,0
3,160022,O0,15,True,15,2078.070932360426,10015.35466180213,0,15,0
3,160023,G25OR,14,True,14,4342.918431744515,18004.59215872257,113,14,0
3,160023,O1,14,True,14,4090.9184317445133,18004.59215872257,71,14,0
3,160023,O2,14,True,14,3916.839608661194,16829.198043305965,81,14,0
3,160023,O3,14,True,14,3663.839608661194,16829.198043305965,39,14,0
3,160023,O0,14,True,14,2032.0413144896872,9810.206572448438,0,14,0
3,160024,G25OR,15,True,15,4575.373906976424,18696.869534882127,130,15,0
3,160024,O1,15,True,15,4367.373906976424,18696.869534882127,95,15,0
3,160024,O2,15,True,15,3848.654898740884,16073.274493704423,94,15,0
3,160024,O3,15,True,15,3483.8530389533084,15289.265194766545,59,15,0
3,160024,O0,15,True,15,1995.0669192318471,9600.334596159235,0,15,0
3,160025,G25OR,13,True,13,4027.5843474778208,16402.921737389104,114,13,0
3,160025,O1,13,True,13,3733.5843474778208,16402.921737389104,65,13,0
3,160025,O2,13,True,13,3400.2831053225123,14221.415526612554,83,13,0
3,160025,O3,13,True,13,3106.2831053225113,14221.415526612554,34,13,0
3,160025,O0,13,True,13,1697.3232989231433,8161.616494615713,0,13,0
3,160026,G25OR,13,True,13,4659.238300520703,19641.19150260352,112,13,0
3,160026,O1,13,True,13,4366.238300520703,19641.19150260352,63,13,0
3,160026,O2,13,True,13,3712.5148038307516,15777.574019153755,83,13,0
3,160026,O3,13,True,13,3371.109823641843,15525.54911820921,34,13,0
3,160026,O0,13,True,13,1808.2607522290043,8716.303761145022,0,13,0
