mode,seed,kind,sources,success,cleared,virtual_time_s,time_per_source_s,distance_m,measures,switches,clear_calls,failed_clear,cost_identity_error_s
4,260045,edge,14,True,14,9329.500728780095,666.3929091985782,36642.50364390048,329,286,14,0,-1.8189894035458565e-12
4,260046,uniform,14,True,14,6675.427381078654,476.81624150561817,25152.136905393254,265,250,14,0,3.637978807091713e-12
4,260047,uniform,14,True,14,6417.180378697599,458.3700270498285,24670.901893487997,237,228,14,0,-9.094947017729282e-13
4,260048,edge,11,True,11,8929.27295314438,811.7520866494891,33661.36476572189,364,322,11,0,1.8189894035458565e-12
4,260049,uniform,12,True,12,6634.904139949161,552.9086783290967,23409.520699745804,317,308,12,0,0.0
4,260050,uniform,10,True,10,6194.861152957205,619.4861152957205,20139.305764786026,355,342,10,0,0.0
4,260051,edge,10,True,10,8892.714118453054,889.2714118453054,32738.570592265256,388,355,10,0,1.8189894035458565e-12
4,260052,uniform,11,True,11,6844.789865907948,622.2536241734498,24913.94932953976,303,292,11,0,-3.637978807091713e-12
4,260053,uniform,16,True,16,5210.425613835614,325.6516008647259,20427.128069178067,176,165,16,0,9.094947017729282e-13
4,260054,edge,13,True,13,9191.56356555149,707.0433511962685,35062.81782775747,360,314,13,0,-3.637978807091713e-12
4,260055,uniform,15,True,15,7366.262915597806,491.084194373187,28226.314577989047,278,256,15,0,-3.637978807091713e-12
4,260056,uniform,12,True,12,6830.335252565951,569.1946043804959,25456.676262829766,281,274,12,0,-1.8189894035458565e-12
4,260057,edge,10,True,10,9733.148270336684,973.3148270336684,36275.74135168342,413,363,10,0,0.0
4,260058,uniform,11,True,11,6806.660726529375,618.7873387753978,24493.30363264688,311,298,11,0,-9.094947017729282e-13
4,260059,uniform,11,True,11,6453.14151155759,586.6492283234173,21880.70755778795,339,327,11,0,0.0
4,260060,edge,10,True,10,8528.797797998572,852.8797797998571,30583.98898999286,401,357,10,0,0.0
4,260061,uniform,15,True,15,7082.777940298974,472.1851960199316,26483.889701494863,287,276,15,0,9.094947017729282e-13
4,260062,uniform,13,True,13,6523.437518244013,501.8028860187702,23577.18759122006,292,283,13,0,9.094947017729282e-13
